ID;Área;Equipamento;QT_UN_APREENDIDAS;QT_UN_LACRADAS;QT_UN_RETIDAS;Valor Estimado;QT_UN_RETIRADAS;Mês;Data;DT_EXTRACAO;Ano
55686;1-Comércio;Outros;0;682;;;682;jul;28/07/2021;28/12/2021;2021
55001;4-Aduana;Equipamento de Radiação Restrita;;;7500;37704,38;7500;jun;30/06/2021;28/12/2021;2021
74536;4-Aduana;SmartTV Box;;;240;2600,00;240;set;13/09/2021;28/12/2021;2021
60675;4-Aduana;SmartTV Box;;;;77000,00;0;jun;30/06/2021;28/12/2021;2021
42013;4-Aduana;SmartTV Box;;2000;;;2000;out;01/10/2020;28/12/2021;2020
75126;4-Aduana;Cabo Óptico;;;5000;150000,00;5000;out;14/10/2021;28/12/2021;2021
42468;1-Comércio;Equipamento de Radiação Restrita;28;816;;44226,18;844;jun;09/06/2021;28/12/2021;2021
72079;4-Aduana;SmartTV Box;;;14000;280000,00;14000;ago;02/08/2021;28/12/2021;2021
75439;4-Aduana;Decodificador de sinal para SeAC;;;3000;870000,00;3000;out;14/10/2021;28/12/2021;2021
72080;4-Aduana;Cabo Metálico;;;1200;196750,00;1200;set;24/09/2021;28/12/2021;2021
73998;4-Aduana;Carregadores de Baterias;;;60000;750000,00;60000;out;21/10/2021;28/12/2021;2021
73896;4-Aduana;Equipamento de Radiação Restrita;;;1744;353144,00;1744;out;19/10/2021;28/12/2021;2021
53238;4-Aduana;Equipamento de Radiação Restrita;;;36622;112000,00;36622;mai;26/05/2021;28/12/2021;2021
73999;4-Aduana;Equipamento de Radiação Restrita;0;0;45160;133887,30;45160;out;21/10/2021;28/12/2021;2021
53234;4-Aduana;Equipamento de Radiação Restrita;;;18310;125027,46;18310;mai;13/05/2021;28/12/2021;2021
55686;1-Comércio;Outros;0;105;;;105;jul;28/07/2021;28/12/2021;2021
73921;4-Aduana;SmartTV Box;0;0;2400;696000,00;2400;out;21/10/2021;28/12/2021;2021
73663;4-Aduana;Equipamento de Radiação Restrita;;;5360;197499,20;5360;out;14/10/2021;28/12/2021;2021
53019;4-Aduana;SmartTV Box;;;8000;128500,00;8000;abr;19/04/2021;28/12/2021;2021
36995;1-Comércio;Outros;;8;;;8;ago;20/08/2020;28/12/2021;2020
37916;1-Comércio;Outros;0;6;;;6;jul;23/07/2020;28/12/2021;2020
39624;3-E-commerce;Outros;0;0;;;0;mai;14/05/2020;28/12/2021;2020
37916;1-Comércio;Outros;0;8;;;8;jul;23/07/2020;28/12/2021;2020
38481;2-Provedores de SCM;Equipamento óptico;0;0;;0,00;0;jul;22/07/2020;28/12/2021;2020
37916;1-Comércio;Outros;0;35;;;35;jul;23/07/2020;28/12/2021;2020
36995;1-Comércio;Equipamento de Radiação Restrita;;1;;;1;ago;20/08/2020;28/12/2021;2020
36995;1-Comércio;Equipamento de Radiação Restrita;;3;;;3;ago;20/08/2020;28/12/2021;2020
36995;1-Comércio;Equipamento de Radiação Restrita;;8;;;8;ago;20/08/2020;28/12/2021;2020
36995;1-Comércio;Equipamento de Radiação Restrita;;1;;;1;ago;20/08/2020;28/12/2021;2020
36995;1-Comércio;Equipamento de Radiação Restrita;;3;;;3;ago;20/08/2020;28/12/2021;2020
36995;1-Comércio;Celular e acessórios;;2;;;2;ago;20/08/2020;28/12/2021;2020
36995;1-Comércio;Equipamento de Radiação Restrita;;6;;;6;ago;20/08/2020;28/12/2021;2020
36995;1-Comércio;Equipamento de Radiação Restrita;;1;;;1;ago;20/08/2020;28/12/2021;2020
36995;1-Comércio;Equipamento de Radiação Restrita;;5;;;5;ago;20/08/2020;28/12/2021;2020
55819;1-Comércio;SmartTV Box;1;;;;1;ago;06/08/2021;28/12/2021;2021
55819;1-Comércio;SmartTV Box;20;;;;20;ago;06/08/2021;28/12/2021;2021
55819;1-Comércio;Outros;2;;;;2;ago;06/08/2021;28/12/2021;2021
55819;1-Comércio;Equipamento de Radiação Restrita;2;;;;2;ago;06/08/2021;28/12/2021;2021
38305;1-Comércio;Equipamento óptico;;10;;2707,15;10;abr;29/04/2020;28/12/2021;2020
38305;1-Comércio;Equipamento óptico;;258;;50113,85;258;abr;29/04/2020;28/12/2021;2020
38305;1-Comércio;Equipamento óptico;;57;;;57;abr;29/04/2020;28/12/2021;2020
74827;1-Comércio;Cabo Metálico;247;;;1976,00;247;set;24/09/2021;28/12/2021;2021
60171;4-Aduana;Carregadores de Baterias;;;700;38887,00;700;mai;26/05/2021;28/12/2021;2021
51617;4-Aduana;Carregadores de Baterias;3000;;;;3000;abr;06/04/2021;28/12/2021;2021
51617;4-Aduana;Equipamento de Radiação Restrita;6150;;;;6150;abr;06/04/2021;28/12/2021;2021
54552;4-Aduana;Carregadores de Baterias;;;1680;33247,20;1680;abr;29/04/2021;28/12/2021;2021
52051;4-Aduana;Carregadores de Baterias;0;0;0;0,00;0;mar;26/03/2021;28/12/2021;2021
52459;4-Aduana;Carregadores de Baterias;0;0;0;0,00;0;abr;08/04/2021;28/12/2021;2021
54552;4-Aduana;Carregadores de Baterias;;;2640;55149,60;2640;abr;29/04/2021;28/12/2021;2021
52459;4-Aduana;Carregadores de Baterias;0;0;0;0,00;0;abr;08/04/2021;28/12/2021;2021
60171;4-Aduana;Outros;;;250;31596,30;250;mai;26/05/2021;28/12/2021;2021
55758;4-Aduana;Outros;;;40;5400,00;40;mai;19/05/2021;28/12/2021;2021
55758;4-Aduana;Outros;;;30;6747,30;30;mai;19/05/2021;28/12/2021;2021
52459;4-Aduana;Carregadores de Baterias;0;0;0;0,00;0;abr;08/04/2021;28/12/2021;2021
54552;4-Aduana;Equipamento de Radiação Restrita;;;12500;199250,00;12500;abr;29/04/2021;28/12/2021;2021
55758;4-Aduana;Outros;;;30;8369,70;30;mai;19/05/2021;28/12/2021;2021
55758;4-Aduana;Equipamento de Rede de Dados;;;100;16990,00;100;mai;19/05/2021;28/12/2021;2021
54552;4-Aduana;Equipamento de Radiação Restrita;;;1600;25504,00;1600;abr;29/04/2021;28/12/2021;2021
51137;4-Aduana;Equipamento de Radiação Restrita;;;66260;95000,00;66260;mar;15/03/2021;28/12/2021;2021
54552;4-Aduana;Equipamento de Radiação Restrita;;;1620;56100,60;1620;abr;29/04/2021;28/12/2021;2021
